id,forum,author,nick,title,content,created_time,ts
M.1455026113.A.9B2,HatePolitics,nantou049,大螃蟹,[黑特] 柯文哲的好運 即將用盡,"最近的政論 多以輕鬆的話題、閒聊的方式進行

其中有命理師提到： 柯當市長，有兩年大運。 現在柯的大運已剩不到一年。

想一想確實有道理 每一次柯p新政荒腔走板 出現政治危機時 就會有大事件救援：


五大案原本暗示馬郝涉案 最後生不出個蛋            → 趙藤雄被判有罪 暫時救援成功

                                                   問題是 趙藤雄有罪的案子 跟柯
                                                   一點屁關係也沒有 如果趙藤雄
                                                   沒其他官司 柯早已自爆

波卡事件 藍綠議員全面追殺                        → 換柱風波 救援成功

台北市大塞車 中央、藍綠議員、各大名嘴全面追殺    → 台南地震慘案 救援成功


柯到目前為止 確實是一事無成 別舉出一些無聊的小政策意圖打我臉

要做一件多數北市民有感的事 柯2024才有希望

例如：社子島整建大成功  社會住宅興建大成功  自行車路網大成功

      成功壓低北市房價 破爛北市全面改頭換面 .........


不過我看是很難

柯的大運即然用盡，被看破手腳的日子 已經不遠。

--",2016-02-12 02:01:01,2016-02-09 21:55:10
M.1455023113.A.75F,HatePolitics,kim,＠＠＠＠＠＠＠,Re: [討論] 為什麼柯p沒有被稱柯神?,"※ 引述《kim (＠＠＠＠＠＠＠)》之銘言：
※ 引述《generally (每個女人心中都有公主夢)》之銘言：
: 賴清德自擔任台南市長後
: 被封為賴神,他的粉絲以綠吱吱居多
: 而柯p有廣大柯粉護駕,支持者不只是花果山的綠吱
: 還有淺藍淺綠人士,以及中間選民
: 遍佈天下的粉絲可說比賴神還廣
: 柯粉護駕功力比綠吱還要強大
: 為什麼柯粉沒有稱柯p為柯神?
: 有掛?
柯文哲的崛起，
只是因為公民勢力出頭，
而民進黨願意與其合作，
所產生的結果。

但粉絲基礎不穩固，
來得快散得也快，
跟阿扁比起來差很多。

國民黨以外的人，
如果可以得到台北市長的位子，
那只是因為站在浪頭上，
而拿到一張門票。
至於能否建立民意基礎，
就看他做的怎麼樣。

如果民進黨2018不推自己人，
柯文哲應該是不會再當選了，
而位子會被國民黨拿回去。

柯文哲跟馬英九一樣愛鎂光燈，
所以常常餵新聞給記者，
如果對外發言內容又和政治承諾有關，
卻都沒有跟內部溝通過；
那麼，內部豈不是抱頭鼠竄？

他在選前因為有幕僚包裝，
所以他可能在就任後幾個月內，
還記得幕僚包裝的他，是什麼樣子，
隨著時間過去，就不記得了。

--",2016-02-12 02:01:40,2016-02-09 21:05:10
M.1455018629.A.47D,Gossiping,s333,33,[ＦＢ] 李富城--柯總統好,"
請柯文哲教教我們該怎麽做,你是官,我們是民,民間出了問題不是你這個官要出來解决嗎
？你嘴裡說得很容易,日本客不來,你當官的想辨法,不然選你斡嘛,說風涼話,誰都會


https://m.facebook.com/story.php?story_fbid=10208657695706165&id=1423730852

大膽  馬總統都還沒卸任，就去問柯總統，

完全不把英明神武的馬總統放在眼裡

--",2016-02-12 05:16:41,2016-02-09 19:50:26
M.1455012725.A.28C,HatePolitics,kim,＠＠＠＠＠＠＠,Re: [討論] 為什麼柯p沒有被稱柯神?,"※ 引述《generally (每個女人心中都有公主夢)》之銘言：
: 賴清德自擔任台南市長後
: 被封為賴神,他的粉絲以綠吱吱居多
: 而柯p有廣大柯粉護駕,支持者不只是花果山的綠吱
: 還有淺藍淺綠人士,以及中間選民
: 遍佈天下的粉絲可說比賴神還廣
: 柯粉護駕功力比綠吱還要強大
: 為什麼柯粉沒有稱柯p為柯神?
: 有掛?
柯文哲的崛起，
只是因為公民勢力出頭，
而民進黨願意與其合作，
所產生的結果。

但粉絲基礎不穩固，
來得快散得也快，
跟阿扁比起來差很多。

國民黨以外的人，
如果可以得到台北市長的位子，
那只是因為站在浪頭上，
而拿到一張門票。
至於能否建立民意基礎，
就看他做的怎麼樣。

如果民進黨2018不推自己人，
柯文哲應該是不會再當選了，
而位子會被國民黨拿回去。

柯文哲跟馬英九一樣愛鎂光燈，
所以常常餵新聞給記者，
如果對外發言內容又和政治承諾有關，
卻都沒有跟內部溝通過；
那麼，內部豈不是抱頭鼠竄？

他在選前因為有幕僚包裝，
所以他可能在就任後幾個月內，
還記得幕僚包裝的他，是什麼樣子，
隨著時間過去，就不記得了。

--",2016-02-12 02:02:15,2016-02-09 18:12:02
M.1455006771.A.8C5,HatePolitics,momogo11,.,[新聞] 希拉蕊民調慘輸 柯林頓爆氣開嗆,"-------------------------------------------------------------------------------

1.新聞網址:
http://udn.com/news/story/6813/1495158
2.新聞來源︰ 
udn
3.新聞內容︰
美國總統大選黨內提名爭奪戰新罕布夏州初選九日登場，在民主黨選戰中，眼看參選人桑德斯急起直追希拉蕊．柯林頓，自我克制數月的美國前總統柯林頓七日終於按捺不住，代妻痛批桑德斯和他的支持者發表失真的言論，以及使用性別歧視的語言攻擊希拉蕊。
新州是舉行普選式初選的第一個州，也是美國兩黨提名戰舉行初選的第二個州。愛阿華州二月一日舉行黨團會議初選，是舉行初選的第一個州。根據美國有線電視新聞網（ＣＮＮ）七日公布最新民調結果，民主黨中，佛蒙特州聯邦參議員桑德斯以百分之五十八支持度，在該州一馬當先，希拉蕊支持度為百分之卅五。

在共和黨方面，房地產大亨川普以百分之卅三的支持度在新州領先，支持度第二的是魯比歐的百分之十六，兩者相差百分之十七之多，克魯茲則以百分之十四排名第三。

柯林頓七日在一所中學，告訴數百名希拉蕊的支持者，桑德斯是一個偽善、與外界完全隔絕、不誠實的人。柯林頓還提及，桑德斯助理去年利用民主黨全國委員會電腦故障機會，擅自取得希拉蕊陣營選民資料一事。

上述談話，意謂柯林頓和希拉蕊陣營在抨擊桑德斯上開始升高語言，同時反映柯林頓夫婦在新州初選前的沮喪感，新州過去一直是柯林頓夫婦的鐵票州，如今桑德斯將在該州獲得決定性勝利。

柯林頓七日最尖銳的批評，落在桑德斯的支持者身上，直指他的支持者以厭惡女性者的語言，攻擊希拉蕊，還說，希拉蕊的支持者在網路上只敢匿名發聲，唯恐招來桑德斯支持者無情攻擊。

昆尼皮亞克大學五日公布最新全國民調結果顯示，希拉蕊從十二月支持度領先桑德斯百分之卅一，變成僅以百分之四十四，領先桑德斯的百分之四十二，差距在民調誤差以內。





4.附註︰

川普:還好我最誠實 連覺得自己女兒很棒

要是沒有父女關係真想跟她交往 都誠實講出來

--",2016-02-12 02:02:03,2016-02-09 16:32:48
M.1455006291.A.281,HatePolitics,generally,每個女人心中都有公主,[討論] 為什麼柯p沒有被稱柯神?,"賴清德自擔任台南市長後

被封為賴神,他的粉絲以綠吱吱居多

而柯p有廣大柯粉護駕,支持者不只是花果山的綠吱

還有淺藍淺綠人士,以及中間選民

遍佈天下的粉絲可說比賴神還廣

柯粉護駕功力比綠吱還要強大

為什麼柯粉沒有稱柯p為柯神?

有掛?

--",2016-02-12 02:02:02,2016-02-09 16:24:49
M.1454997023.A.E68,HatePolitics,hatedark168,小羊,[黑特] 柯p棒,"看到新聞柯p說要推都更

讚啦

柯p加油

真的很怕下次輪到台北

哀拜託民眾別再反了



--",2016-02-12 02:02:28,2016-02-09 13:50:21
M.1454996951.A.C7F,Gossiping,andygoal1988,終點,Re: [新聞] 柯P：一個月內公布都更戰略方案,"※ 引述《if2 (祈福兔)》之銘言：
:     柯P：一個月內公布都更戰略方案
:     http://goo.gl/Rz84lK
:     南台灣發生大地震，媒體今詢問台北市長柯文哲是否打算針對台北市40年以
:     上老屋的防震係數進行體檢，柯文哲表示，台南的地震事件相當程度會影響
:     台北市的都更政策，很多人看過李鴻源教授的演講，也許沒有那麼嚴重，但
:     如果6級地震發生在台北市，那的確是大問題。柯強調，台北市都更必須用
:     更大決心呈現，最近已經在準備草案，預計一個月內會公布「台北市都更戰
:     略方案」。
:     柯文哲表示，從文林苑事件後，台北市的都更幾乎是停擺的，一定要有解套
:     方案，所以如何在人民的權利與公共利益中取得平衡，這是蠻政治性的題
:     目，但大家看到在台南發生的事，要問自己「如果同樣6級地震發生在台
:     北，我們會面臨甚麼樣的問題」，假如這是躲不掉的問題，那要做甚麼樣的
:     準備，所以一個月內會公布「台北市都更戰略方案」。
:     至於台北市土壤液化區的資料，柯表示工務局已經在整理，半年左右的時
:     間，就會公布台北市土壤液化區資料，柯表示每次在談都更案，每個民眾都
:     在講容積率，但土壤液化區的容積率高沒用，又蓋不起來，所以有數據後，
:     都市計畫會有比較清楚的圖像，台北市還是盆地，不適合蓋這麼高的大廈。
:     （張博亭／台北報導）

柯文哲其實蠻適合去走國軍體系的 做事情名字都取超好聽的 但是都虎頭蛇尾沒內容

什麼不好講跑去講文林苑 那可是時代力量崛起的重要場合之一ㄟ

汀州路龍腦釘子戶還不是給人家偷拆 事後靠北說什麼不知情 台北好好拆2.0喔

台北市的建設 最重要的力量就是財團 你看捷運要蓋個出口還要找人家來聯開

現在財團得罪的差不多了 你是要找誰來幫你都更? 你自己底下的人都只會拆吧ㄏㄏ

先不要講都更了啦 自己政見裡面的違建問題 說三個月之內要解決 半年內拆完

結果違建不減反增 微風廣場停車格還搞得這麼有時尚感 好像沒有聽柯P放一聲屁

唯一作對的就是以拆除當作建設 以退為進 把機能市容交通全部弄爛掉

房價低了會比較好都更

--",2016-02-12 05:29:32,2016-02-09 13:49:09
M.1454995658.A.DEA,Gossiping,iamthebest08,,[爆卦] 捕獲野生柯P,"交通搞成這樣還到處趴趴走

忠孝橋拆這麼快是要逼死誰!!!

來龍山寺是参拜

結果還是受到一堆人歡迎

捕獲野生柯P還握到手

暖暖的 有觸電的港覺
http://i.imgur.com/9CbQtzs.jpg

--",2016-02-12 05:30:20,2016-02-09 13:27:35
M.1454994433.A.7C2,Gossiping,staypositive,心想事成,Re: [新聞] 柯P：一個月內公布都更戰略方案,"
都更要拆房子
房子不是不能拆
而是你拆房子的理由是甚麼?

有的老房子蓋得比新房子還堅固
有的民宅豪宅蓋得比建商還好
這些沒有防災的顧慮，就沒有必要拆。

有的房子很爛
不拆之後會因為失火地震等等因素出人命
這才需要拆

都更你拆該拆的
不該不該拆的
就不會有問題


文林苑那個是因為建商根本太扯
人家王家在台北市有完整土地數十坪(台北市有房子就會知道這個有多難得)
房子又是新建一大棟
完全不需要拆
結果建商硬要拆
硬逼人家從住大房子改成住五間小房子
白癡才會同意

文林苑那個案子王家絕對沒錯
錯的是建商跟法律
可惜到現在還是一堆人搞不清


※ 引述《if2 (祈福兔)》之銘言：
:     柯P：一個月內公布都更戰略方案
:     http://goo.gl/Rz84lK
:     南台灣發生大地震，媒體今詢問台北市長柯文哲是否打算針對台北市40年以
:     上老屋的防震係數進行體檢，柯文哲表示，台南的地震事件相當程度會影響
:     台北市的都更政策，很多人看過李鴻源教授的演講，也許沒有那麼嚴重，但
:     如果6級地震發生在台北市，那的確是大問題。柯強調，台北市都更必須用
:     更大決心呈現，最近已經在準備草案，預計一個月內會公布「台北市都更戰
:     略方案」。
:     柯文哲表示，從文林苑事件後，台北市的都更幾乎是停擺的，一定要有解套
:     方案，所以如何在人民的權利與公共利益中取得平衡，這是蠻政治性的題
:     目，但大家看到在台南發生的事，要問自己「如果同樣6級地震發生在台
:     北，我們會面臨甚麼樣的問題」，假如這是躲不掉的問題，那要做甚麼樣的
:     準備，所以一個月內會公布「台北市都更戰略方案」。
:     至於台北市土壤液化區的資料，柯表示工務局已經在整理，半年左右的時
:     間，就會公布台北市土壤液化區資料，柯表示每次在談都更案，每個民眾都
:     在講容積率，但土壤液化區的容積率高沒用，又蓋不起來，所以有數據後，
:     都市計畫會有比較清楚的圖像，台北市還是盆地，不適合蓋這麼高的大廈。
:     （張博亭／台北報導）

--",2016-02-12 05:31:13,2016-02-09 13:07:10
M.1454988556.A.4C2,Gossiping,ezJapan,Japan,Re: [新聞] 柯文哲：一個月內公布台北市都更戰略方案,"要大家都更,方法很簡單但也不簡單
請先去搞定建商,請他們不要如此貪婪
不然就是看能不能透過政府找到願意接自建案的建商

我們公寓是30年以上老舊建築,隔壁在興建時請建商過來估重建要多少
當時要價2000萬,不過等我們正式開口時,他們卻說要縮單層面積多蓋兩層,
這兩層他們要,然後地下室車位要一半,算算土地一半變他們的,當然這兩千
萬興建費用由他們來出,就算我們後來開到三千萬,他們還是說這樣他們不划算

之後又有人來遊說我們這附近大面積都更,一樣是不用付都更費,但是他們要
一樓的一半,一樓住戶少的上面樓層補回,土地也是要走一半.

對我們來說,只是想把房屋翻新,不想多好幾戶變複雜,也不願土地少一半
要都更請先搞定建商吧

每次看建商開 AUDI A8L 來看興建的狀況,真覺得他們賺太多了









--",2016-02-12 05:34:50,2016-02-09 11:29:14
M.1454986755.A.A6E,Gossiping,cul287,希悠,[新聞] 柯文哲：一個月內公布台北市都更戰略方案,"1.媒體來源:
LTN

2.完整新聞標題:
柯文哲：一個月內公布台北市都更戰略方案

〔記者鍾泓良／台北報導〕準總統蔡英文昨天提到將會把全國房屋總體檢及都市更新列為施
政優先項目，台北市長柯文哲今天大年初二首站來到台北行天宮參拜受訪時表示，台南地震
相當程度影響到台北市都更政策，很多人看過前內政部長李鴻源的演講，裡面提到如果台北
市發生6級地震，那的確是大問題。柯表示，台北市都更必須用更大的決心去執行，他說，
最近已經在準備台北市都更的「台北市都更戰略方案」，一個月內會公布。

柯提到，從士林文林苑事件之後，台北市的都更幾乎是停擺的，一定要有解套方案，所以如
何在人民的權利與公共利益中取得平衡，「這是蠻政治性的題目。」但在看到台南發生的事
情，要問自己一個問題，「如果同樣6級地震發生在台北，我們會面臨什麼樣的問題？」

而日前柯也提到短期內要公布台北市土壤液化區，他表示工務局已經在整理，大約半年左右
將公布土壤液化區資料。柯提到，每個民眾都在講容積率，「但土壤液化區的容積率高沒用
，又蓋不起來！」所以有數據後，都市計畫會有比較清楚的圖像，也不會讓容積率無限增加
，都市計畫會有比較清楚的圖像，「台北市還是盆地，本來就不適合蓋這麼高的大廈。

4.完整新聞連結 (或短網址):
http://news.ltn.com.tw/news/politics/breakingnews/1598970

5.備註:

社子島居民:

--",2016-02-12 05:35:29,2016-02-09 10:59:12
M.1454985702.A.F48,Gossiping,gtrexh,,Re: [新聞] 拆橋2天完成50％ 柯P：感謝2000人犧牲假,"本小魯身為拆橋人員之一

在此再次為大家送上新照一張
http://i.imgur.com/yL6Ps8b.jpg

然後真的第二晚其實進度就已經50%了

附圖
http://i.imgur.com/pHs7FyT.jpg

黨工不信可以翻我舊文
不要再崩潰了
沒有我們這些人，你們永遠只會用嘴巴拆

另外現場真的很多遊民以及臨時工
感謝柯P叫老闆聘用這些人來

讓他們有錢賺.有事做.好過年

雖然他們人都怪怪的

※ 引述《girl10319 (凱莉)》之銘言：
: 拆橋2天完成50％ 柯P：感謝2000人犧牲假期
: 記者鍾泓良／台北報導
: 台北市長柯文哲今天大年初二首站來到台北行天宮參拜，媒體問到拆除忠孝橋引橋進度
，
: 柯文哲表示，2天大概完成50%，進度有超前，一天需要1400、1500多人，維持北門周邊
交
: 通用掉4個分局，加上台北市公務部門，接近2000人年假沒有辦法回家，「非常謝謝他
們
: 的犧牲。」
: 柯文哲昨天去臨時檢查表示，交通影響及工程噪音他表示抱歉。 他提到，將來北市府
對
: 於工程執行要「慢慢想快快做」的概念，以免拖太久造成民怨。他說，未來重要幹道施
工
: 時間要短，工期也應列入最有利標。他舉例忠孝橋引橋拆除當時在府內引起很多的辯論
，
: 「當時要把工期壓縮，要多花6000萬。」當媒體詢問會不會提前完工，他認為不會給工
程
: 單位壓力，要求提前完工當然是更好。
: 新聞來源：自由時報
: http://m.ltn.com.tw/news/politics/breakingnews/1598965

--",2016-02-12 05:36:30,2016-02-09 10:41:40
M.1454984455.A.B91,Gossiping,homeyheaven,卡兒,[新聞] 如何與朱立倫拜年　柯P：簡訊傳一下就好,"如何與朱立倫拜年　柯P：簡訊傳一下就好

2016年02月09日09:39  張博亭／台北報導

台北市長柯文哲今被媒體問及過年期間是否有向其他政治人物拜年，比如前總統李
登輝，以及準總統蔡英文等，柯表示他會定期去看李登輝與親民黨主席宋楚瑜，所
以也不用特別過年的時候去，至於準總統蔡英文，柯表示兩人就算沒有直接講上話
，幕僚每天也是常在傳line。

媒體詢問柯，是否會去探前總統陳水扁，柯表示阿扁在高雄，不會刻意去看，有去
南部就順便彎過去看。至於新北市長朱立倫部分，柯笑說「這就簡單，用簡訊傳一
下就好」。


蘋果日報
http://goo.gl/cwRfC0

--------------------------------------------------


回答有關「李登輝、宋楚瑜、蔡英文、陳水扁」都很認真在回答…

到了朱立倫就.....

柯p

你不要這麼誠實好不好XDDD




--",2016-02-12 05:36:52,2016-02-09 10:20:53
M.1454983392.A.444,Gossiping,girl10319,凱莉,[新聞] 拆橋2天完成50％ 柯P：感謝2000人犧牲假,"拆橋2天完成50％ 柯P：感謝2000人犧牲假期

記者鍾泓良／台北報導

台北市長柯文哲今天大年初二首站來到台北行天宮參拜，媒體問到拆除忠孝橋引橋進度，
柯文哲表示，2天大概完成50%，進度有超前，一天需要1400、1500多人，維持北門周邊交
通用掉4個分局，加上台北市公務部門，接近2000人年假沒有辦法回家，「非常謝謝他們
的犧牲。」

柯文哲昨天去臨時檢查表示，交通影響及工程噪音他表示抱歉。 他提到，將來北市府對
於工程執行要「慢慢想快快做」的概念，以免拖太久造成民怨。他說，未來重要幹道施工
時間要短，工期也應列入最有利標。他舉例忠孝橋引橋拆除當時在府內引起很多的辯論，
「當時要把工期壓縮，要多花6000萬。」當媒體詢問會不會提前完工，他認為不會給工程
單位壓力，要求提前完工當然是更好。

新聞來源：自由時報

http://m.ltn.com.tw/news/politics/breakingnews/1598965

--",2016-02-12 05:37:16,2016-02-09 10:03:09
M.1454982875.A.78C,Gossiping,poplc,,Re: [新聞] 柯P：一個月內公布都更戰略方案,"※ 引述《if2 (祈福兔)》之銘言：
:     柯P：一個月內公布都更戰略方案
:     http://goo.gl/Rz84lK
:     南台灣發生大地震，媒體今詢問台北市長柯文哲是否打算針對台北市40年以
:     上老屋的防震係數進行體檢，柯文哲表示，台南的地震事件相當程度會影響
:     台北市的都更政策，很多人看過李鴻源教授的演講，也許沒有那麼嚴重，但
:     如果6級地震發生在台北市，那的確是大問題。柯強調，台北市都更必須用
:     更大決心呈現，最近已經在準備草案，預計一個月內會公布「台北市都更戰
:     略方案」。
:     柯文哲表示，從文林苑事件後，台北市的都更幾乎是停擺的，一定要有解套
:     方案，所以如何在人民的權利與公共利益中取得平衡，這是蠻政治性的題
:     目，但大家看到在台南發生的事，要問自己「如果同樣6級地震發生在台
:     北，我們會面臨甚麼樣的問題」，假如這是躲不掉的問題，那要做甚麼樣的
:     準備，所以一個月內會公布「台北市都更戰略方案」。
:     至於台北市土壤液化區的資料，柯表示工務局已經在整理，半年左右的時
:     間，就會公布台北市土壤液化區資料，柯表示每次在談都更案，每個民眾都
:     在講容積率，但土壤液化區的容積率高沒用，又蓋不起來，所以有數據後，
:     都市計畫會有比較清楚的圖像，台北市還是盆地，不適合蓋這麼高的大廈。
:     （張博亭／台北報導）


依照市府目前提出社子島開發改建計畫案中，住宅區容積率為160％，
許多居民希望能提高到450％

之前社子島不是還在吵著要開發嗎
那現在還開發的了嗎


再對比
--
台北市的高度液化區包括延平北路七段、社子島、石牌派出所以北區域、士林橋周遭、捷
運民權西路站到大橋頭，行天宮南側、光華數位新天地附近、大安森林公園北側、青年公
園東側、信義路四段和南港分局等10處。
--


這種地方禁建不是剛好而已，要是再開發，出事保證百分百全賴給柯P

--",2016-02-12 05:37:09,2016-02-09 09:54:32
